ID,Geschlecht,Größe
"Gonzales, Christina",Female,160
"Lozano, T'Hani",Female,172
"Williams, Hanh",Female,168
"Nem, Denzel",Male,183
"Powell, Heather",Female,175
"Perez, Jadrian",Male,189
"Clardy, Anita",Female,156
"Allen, Rebecca Marie",Female,167
"Tracy, Robert",Male,195
"Nimmons, Laura",Female,165
"Lang, Mackenzie",Female,162
"Rodriguez, Brianna",Female,172
"Covar Orendain, Christopher",Male,185
"Lopez, Monique",Female,158
"Davis, Shagun",Female,157
"Adams, Jose",Male,172
"Hines, Haileigh",Female,156
"Daugherty, Jesus",Male,182
"Roybal, Ebony",Female,162
"Baysinger, Tanisha",Female,168
"Phillips, Laiba",Female,167
"Culbertson, Deshawn",Male,175
"O Reilly, Joshua",Male,164
"Johnson, Stephanie",Female,155
"Mix, Aziel",Male,183
"Gonzalez, Dixie",Female,145
"Clark, Janelle",Female,161
"Woolsey, Bronson",Male,182
"Diawara, Erica",Female,169
"Lord, Benjamin",Male,172
"Cordova, Justin",Male,172
"Hayes, Vamshi",Male,192
"French, Sidney",Male,175
"Torres, Andrew",Male,173
"Medina, Diamond",Female,170
"Pascua, Burphy",Male,176
"Glenn-Bracey, Mia",Female,180
"Yang, Manuel",Male,185
"Lujan, Malia",Female,172
"Formby, Christina",Female,171
"Nelson, Anddi",Female,153
"Lucas, Asashia",Female,157
"Holguin, Lance",Male,190
"Ontiveros, Aleena",Female,173
"Clark, Marlana",Female,170
"Phan, Edeer",Male,160
"Robles Escamilla, Rosario",Female,170
"Longwolf, Addam",Male,171
"Romero, Keyanna",Female,160
"Carter, Robert",Male,181
"Jumbo, Isiah",Male,161
"Dillenberg, Soraya",Female,164
"Nguyen, Juancarlos",Male,170
"Shanahan, Carlos",Male,174
"Brown, Nhan",Male,171
"Tak, Ruben",Male,184
"Hussainy, Luis",Male,173
"Maven, Yee Joo",Female,167
"Payte, Alexander",Male,182
"Tate, Shelby",Female,159
"Livingston, Sarah",Female,167
"Vang, Austin",Male,183
"Cebrun, Linda",Female,157
"Meza Ramirez, Maricela",Female,173
"Nicholson, Willow",Female,171
"Eydi Shahroodi, Erik",Male,182
"Truong, Patrick",Male,169
"Vasquez, Timothy",Male,167
"Warren, Justin",Male,174
"Frost, Yuvorn",Male,194
"Minor, Alex",Male,182
"Arkadie, Houa",Female,152
"Iverson, Sierra",Female,154
"Bustamante-Harrison, Sierra",Female,159
"Treto, Teonna",Female,153
"Gonzales, Brianna",Female,150
"Pacheco, Cydney",Female,167
"Castaneda-Amaya, Tyandra",Female,149
"Garcia, Yamel",Female,155
"Ho, Javier",Male,177
"Munoz, Derrick",Male,180
"Castillo, Anastasia",Female,159
"Serrano, Shanae",Female,174
"Park, Damien",Male,174
"Lesley, Tiffany",Female,159
"Turner, Savannah",Female,160
"Begay-Watson, Anthony",Male,169
"Picard, Brittney",Female,166
"Wilson, Navya",Female,155
"Dinh, Fidel",Male,178
"Huddleston, Tina",Female,162
"Gonzalez, Merissa",Female,181
"Norris, Lauren",Female,168
"Kim, Eaba",Male,181
"Miranda Quintero, Olivia",Female,158
"Briseno, Davie",Male,177
"Garcia, Kush",Male,169
"Chandramouli, Nelson",Male,176
"Edwards, Linh",Female,166
"Cook, Macallyson",Female,173
"Jones, Kianna",Female,168
"Patterson, Luna",Female,155
"Butler, Courtney",Female,173
"Lobato, Allan",Male,177
"Iturralde, Azalia",Female,176
"Cowans, Tylar",Male,190
"Feseha, Armando",Male,190
"Tan, Jaylon",Male,174
"John III, Ryan",Male,183
"Geathers, Tristan",Female,162
"Hepler, Eduardo",Male,173
"Wong, Tyler",Male,192
"Messenger, Amber",Female,164
"Nakarmi Dhital, Derek",Male,192
"Aguilar, Anessa",Female,155
"Hatt, Micah",Female,176
"Cao, Jayson",Male,168
"Valenciano-Poffenbarger, Quincie",Female,175
"Perkins, Janelle",Female,156
"Carrethers, Michelle",Female,163
"Vang, Xavier",Male,172
"Jones, Lauren",Female,166
"O'Connor, Kalan",Male,168
"Hogan, Kolton",Male,170
"Langseth, Alyssa",Female,155
"Knox, Andrew",Male,174
"Gozeh, Exar",Male,164
"Kwon, Cody",Male,178
"Littles, Claire",Female,168
"Humphrey, Mikenna",Female,160
"Ditzler, Jared",Male,187
"Depalma, Courtney",Female,153
"Pinnecoose, Jason",Male,187
"O'Blia, Brianna",Female,173
"Mercier, Sophia",Female,156
"Aerts, Jaitaya",Female,162
"Aguirre, Karla",Female,166
"Garcia, Octiavia",Female,165
"Boone, Ishi",Male,172
"Brown, Dmitriy",Male,172
"Hall, Zachary",Male,178
"Noy, Damian",Male,179
"Hill, Stephanie",Female,173
"Coronado Garcia, Samantha",Female,166
"Wilson, Kala",Female,172
"Yoo, Gerald",Male,172
"Trejo, K'Ara",Female,159
"Avorque, Eduardo",Male,179
"Hoang, Christopher",Male,164
"Rangel, Ahbreyonna",Female,160
"Colombo-Davis, Joel",Male,180
"Diaz, Alysia",Female,158
"Chong, Elier",Male,171
"Bustos, Lauren",Female,162
"Rico, Briana",Female,156
"Cordova, Stephen",Male,189
"Myers, Allison",Female,166
"Phantharangsy, Jonathan",Male,172
"Lynn, Brandon",Male,180
"Dickinson, Tyran",Male,184
"Garcia, Jazzmine",Female,148
"Wilson, Kyla",Female,161
"Burkley, Layhat",Female,164
"Campbell, Sean",Male,185
"Alkarim, Dwight",Male,171
"Kawamura, Marquise",Male,175
"Rodriguez, Paola",Female,156
"Carrasco-Meraz, Toni",Female,162
"Gudgel, Marissa",Female,168
"El-Meniawi, Francesca",Female,160
"Hong, Cleevens",Male,171
"Matsumura, Deon",Male,180
"Lucero, Kennah",Female,172
"Ramos, Christa",Female,156
"Woodard, Aaron",Male,172
"Tom, Samuel",Male,187
"Bottorff, Khoa",Male,177
"Fernandes, Yasmeen",Female,163
"Brink, Dominic",Male,190
"Truong, Jerome",Male,177
"Sheard, Guadalupe",Female,164
"Rowlett, Kiah",Female,155
"Kiepprien, Amy",Female,150
"Valencia, Jessica",Female,152
"Grubin-Andresen, Desiree",Female,176
"O'Hearon, Rio",Female,164
"Aguirre, Yadira",Female,155
"Broomfield, Lily",Female,181
"Martinez, Beatriz",Female,156
"Diaz Daughtry, Jorge",Male,168
"Johnson, Nathaniel",Male,192
"Tran, Markel",Male,184
"Bharatee, Martin",Male,188
"Singh, Keegen",Male,178
"Roth, Jessica",Female,152
"Castorena, Jael",Female,156
"San Miguel, Brianna",Female,172
"Love, Kaylee",Female,161
"Morris, Jerry",Male,177
"Didario, Evan",Male,180
"Tharpe, Chet",Male,164
"Donaldson, John",Male,169
"Laidman, Jessica",Female,158
"Stratton, Jessica",Female,146
"Mian, Jacob",Male,173
"Coreau, Sergei",Male,166
"Sanchez, Maribel",Female,165
"Daughtry, Emily",Female,167
"Martinez, Ruby",Female,143
"Delarosa, Hunter",Male,182
"Burns, Tuyet",Female,161
"Montes, Dakota",Female,174
"Vigil, Darias",Male,189
"Ramirez, Chamera",Female,161
"Tran, La'Quan",Male,176
"Mcdonald, Ariana",Female,152
"Sloan, David",Male,175
"Xiong, Pablo",Male,165
"Young, Mikal",Male,174
"Lucero, Jasmine",Female,162
"Briones, Jordon",Male,160
"Mccloud, Henry",Male,170
"Afalava, Luis",Male,197
"Hendrix-Wilcox, Amanda",Female,149
"Groff, Sadie",Female,165
"Watts, Tracy",Female,159
"Berry, Ryan",Male,178
"Khan, Raul",Male,180
"Boulier, Derek",Male,169
"Siriphanh, Wilbur",Male,169
"Dufresne, Jake",Male,172
"Cardona, Alexis",Female,170
"Magno, Sergio",Male,179
"Mcconnell, Keegan",Male,173
"Valenzuela, Monica",Female,159
"Washington, Monica",Female,169
"Clift, Navkirat",Male,183
"Short, Allen",Male,182
"Yang, Isidro",Male,170
"Cabriales Ruiz, Angie",Female,151
"Lish, Christian",Male,184
"Douglas, Daniel",Male,183
"Garcia, Miriah",Female,166
"Cruz, Ashley",Female,168
"Ortiz, Kaylie",Female,164
"Chambers, Kayla",Female,168
"Trejo, Tanisha",Female,170
"Martinez, Jessica",Female,157
"Choi, Anthony",Male,165
"Atencio, Trysten",Female,165
"Claiborne, Drew",Male,173
"Jones, Emily",Female,170
"Pinto, Gaston",Male,180
"Holley-Bergin, Briana",Female,162
"Swiney, Sydni",Female,163
"Keyer, Brandon",Male,188
"Vigil, Nelson",Male,180
"Herrera, Steven",Male,191
"Acosta, Marlena",Female,155
"Bean, Trevor",Male,172
"Fernandez, David",Male,172
"Smith, Justin",Male,177
"Tanner, Michael",Male,177
"Omotosho, Alexis",Female,144
"Porco, Daniel",Male,178
"Mair, Daisy",Female,161
"Verde, Thien",Male,183
"Um, Brandon",Male,168
"Lamorie, Nancy",Female,181
"Denning, Jonathan",Male,186
"Betz, Kyle",Male,169
"Alex, Brendan",Male,171
"Nguyen, Joshua",Male,182
"Agyei, Stephanie",Female,152
"Yates, Levi",Male,175
"Villejo, Jade",Female,157
"Salido, Michael",Male,189
"Rikke, Ja Von",Male,157
"Tillman, Kyle",Male,181
"Bauer, Alexis",Female,173
"Zhao, Anthony",Male,174
"Thirumalai, Quarmarius",Male,183
"Swiney, Kesang",Female,154
"Bajwa, Anthony",Male,163
"Holmes Jr, Nikhil",Male,176
"Atencio, Yesenia",Female,157
"Eydi Shahroodi, Joshua",Male,168
"Kodani, Deangelo",Male,191
"Hom, Carinton",Male,182
"Jarvis, Jayree",Female,173
"Dintaman, Muhammad",Male,176
"Tan, Tristin",Male,170
"Spriggs, Christopher",Male,187
"Miranda, Larissa",Female,150
"Smith, Danica",Female,167
"Dayton, Amanda",Female,163
"Blevans, Christopher",Male,175
"Villalobos-Valdez, Denajae",Female,157
"Beltran-Garfio, Nicole",Female,164
"Towne, Rajiv",Male,179
"Moses, Jeffrey",Male,180
"Asakawa, Kailon",Male,192
